#{"t_start": 1790201579.1449673, "env_id": "None"}
r,l,t
-106.48085,12,0.94699
-102.37888,5,0.955296
-96.580315,14,0.980108
-110.69481,10,0.997763
-112.8364,28,1.358001
-121.86434,18,1.389477
-114.725815,29,1.72866
-108.05016,11,1.747802
-112.95583,32,2.09497
-106.16191,7,2.106415
-99.098,11,2.124767
-91.447075,37,2.483961
-99.29371,8,2.496971
-96.60729,28,2.543441
-96.863655,27,2.878108
-111.69529,10,2.89873
-84.122986,23,3.227268
-110.70284,7,3.239124
-107.57541,9,3.254183
-108.99583,7,3.26664
-104.05434,13,3.288414
-94.55344,15,3.607467
-99.215355,16,3.636803
-104.73067,6,3.647088
-83.460945,37,4.001878
-102.21349,12,4.02259
-101.66521,14,4.04884
-103.47356,4,4.055516
-93.848854,22,4.38398
-108.6428,21,4.420035
-106.97746,14,4.734416
-103.49527,14,4.762618
-89.04239,17,4.790656
-114.87859,13,5.102126
-102.82659,16,5.131306
-106.43545,8,5.147005
-109.99974,8,5.161593
-92.87165,21,5.488642
-101.877556,39,5.555755
-113.170265,22,5.883071
-82.51135,29,5.935074
-74.44575,33,6.284273
-104.984146,4,6.290896
-104.32999,8,6.303917
-98.004654,29,6.648611
-110.2358,38,7.002556
-97.08698,20,7.040384
-108.66562,13,7.06149
-108.968315,13,7.373195
-85.199745,38,7.437616
-102.43909,16,7.756704
-98.75072,9,7.771506
-102.62475,5,7.779711
-108.305534,13,7.801892
-86.58052,21,8.128193
-106.69464,8,8.142054
-103.81165,5,8.150321
-106.724884,5,8.15874
-100.41395,27,8.208052
-111.48689,8,8.515421
-109.963104,11,8.53374
-101.913155,42,8.898419
-103.80497,29,8.947051
-94.86761,14,9.263798
-97.38774,8,9.276839
-96.2065,38,9.343064
-96.86888,13,9.65782
-104.924034,15,9.683769
-122.505325,17,9.711347
-80.85416,32,10.058562
-89.10904,18,10.089278
-99.83618,15,10.405355
-101.24311,10,10.422455
-106.576035,6,10.434055
-99.37741,12,10.457231
-103.45571,17,10.774666
-112.10219,20,10.80865
-96.788956,34,11.160513
-112.35895,13,11.185221
-106.90997,8,11.198661
-88.939354,19,11.231902
-96.08501,13,11.54431
-101.80303,28,11.597528
-99.061516,11,11.615539
-108.545296,6,11.915607
-97.71255,14,11.939307
-94.990005,17,11.968822
-114.92413,42,12.33188
-103.82024,4,12.338509
-93.93437,19,12.661975
-101.80279,19,12.694232
-86.14032,38,13.058095
-106.11708,7,13.069516
-97.003006,33,13.126094
-101.46414,7,13.426998
-79.46184,32,13.483304
-93.26152,21,13.810546
-108.65973,10,13.827034
-86.2037,25,13.873501
-102.7602,9,14.175337
-107.83004,6,14.188709
-114.628235,17,14.218089
-100.13547,7,14.230198
-90.31432,18,14.55403
-112.53257,21,14.590188
-105.27185,28,14.641422
-103.15999,13,14.951953
-95.120476,11,14.970288
-98.464096,21,15.011528
-103.846954,15,15.326082
-95.18157,13,15.347728
-70.65101,32,15.694029
-96.95042,17,15.72364
-103.35266,8,15.740319
-101.883385,7,15.752165
-96.47312,12,15.771841
-99.39621,29,16.109869
-95.02437,12,16.131787
