#{"t_start": 1790033131.866497, "env_id": "None"}
r,l,t
5.826949,5,0.817289
3.7229638,5,0.823897
-2.2547212,5,0.830582
4.6688485,5,0.836454
5.9466953,5,0.842019
6.197916,5,0.847718
7.821418,5,0.853796
7.3233833,5,0.859562
2.6606798,5,0.865598
8.148559,5,0.871257
4.8400273,5,0.947415
-2.063214,5,0.953293
-4.8557982,5,0.959317
7.822294,5,0.965381
-104.28364,5,0.9711
3.9246104,5,0.977127
-1.5940652,5,0.982801
7.2979736,5,0.989168
7.375991,5,0.995206
-0.8814622,5,1.000616
-1.1009285,5,1.035436
4.6407003,5,1.041454
7.702557,5,1.047299
6.4888654,5,1.052664
2.5583155,5,1.058113
5.3057795,5,1.063781
0.88039327,5,1.069961
4.6531816,5,1.075684
4.827487,5,1.081772
1.8016529,5,1.087349
1.8780972,5,1.120168
4.893011,5,1.125657
6.7027097,5,1.131052
-1.5344619,5,1.137197
5.4653244,5,1.14351
3.675928,5,1.148986
3.2921424,5,1.155328
2.8485572,5,1.160669
0.3579619,5,1.166952
3.7592516,5,1.17239
-1.577923,5,1.205497
6.123796,5,1.211584
7.5530806,5,1.217808
-0.7782402,5,1.223927
0.23962444,5,1.229454
4.9514303,5,1.235308
8.565122,5,1.24074
4.4448447,5,1.246214
6.336321,5,1.251889
-0.60956585,5,1.257747
4.34397,5,1.292271
6.750693,5,1.298047
-104.53779,4,1.30293
-7.103752,5,1.308939
6.9867296,5,1.314914
3.251225,5,1.321175
4.8331428,5,1.327082
-104.42432,5,1.332954
7.071353,5,1.338733
-0.85816085,5,1.345478
-106.18249,4,1.376468
3.6799073,5,1.381734
7.5214977,5,1.387973
5.6085234,5,1.393691
3.5134048,5,1.399023
1.615922,5,1.404436
-105.56616,3,1.407973
8.128091,5,1.41318
9.187627,5,1.418498
3.794827,5,1.423783
7.2585964,5,1.456065
6.4890237,5,1.461745
7.9843884,5,1.467712
5.940185,5,1.47309
5.8444715,5,1.478715
-0.5696197,5,1.484373
5.44804,5,1.489673
-0.5270092,5,1.494988
6.6811776,5,1.504139
0.91285294,5,1.510263
-108.177246,5,1.542926
7.032318,5,1.548193
2.602967,5,1.553515
0.37169254,5,1.558829
-2.8246012,5,1.564462
4.8739805,5,1.56973
2.8768601,5,1.575338
0.71490806,5,1.580689
4.8693867,5,1.586008
-0.9016036,5,1.59129
3.2812924,5,1.624375
7.369969,5,1.630033
5.320085,5,1.63551
2.1182468,5,1.640997
6.5179586,5,1.646298
3.6058538,5,1.651598
3.5473218,5,1.657185
-107.34769,5,1.662462
7.4636126,5,1.667668
9.275814,5,1.672928
-106.43697,4,1.677163
5.76287,5,1.708617
5.3187685,5,1.713987
1.1779313,5,1.719893
3.593571,5,1.725497
6.128406,5,1.730782
-2.6275566,5,1.736849
5.2267294,5,1.742383
5.46836,5,1.74806
-0.46976525,5,1.753964
7.289142,5,1.759824
7.5548496,5,1.79143
-4.343408,5,1.79734
4.9010305,5,1.802907
8.365604,5,1.808458
5.793777,5,1.814185
7.555025,5,1.820459
-2.272763,5,1.826457
7.8385158,5,1.831842
3.6748226,5,1.837169
-0.60878646,5,1.842776
1.0597515,5,1.876383
5.762963,5,1.882043
4.3773956,5,1.887987
-4.2007265,5,1.893285
5.328656,5,1.898872
2.5608802,5,1.904219
4.205019,5,1.909574
7.924494,5,1.914852
-4.068613,5,1.920433
3.430675,5,1.926324
5.6969786,5,1.958842
6.8123627,5,1.964808
0.50832844,5,1.970716
-1.1751305,5,1.977703
-106.87787,4,1.982289
7.86131,5,1.987829
-105.09403,5,1.993165
5.273992,5,1.999076
5.337317,5,2.00535
6.7769594,5,2.010761
-4.047056,5,2.042547
-0.20770955,5,2.048534
-104.128944,4,2.052857
-106.110664,5,2.05849
5.937766,5,2.065282
1.2529957,5,2.07067
6.4014435,5,2.076027
8.779162,5,2.081333
-6.260746,5,2.086943
0.88064986,5,2.093368
7.789019,5,2.125407
-0.5595119,5,2.131336
1.2338328,5,2.137559
6.978228,5,2.143163
4.7290683,5,2.149333
4.2139215,5,2.154602
7.531002,5,2.159908
7.0460467,5,2.165866
-2.5874496,5,2.171974
7.56181,5,2.177322
3.1914487,5,2.209639
4.6760964,5,2.215745
6.80445,5,2.221367
-2.8603446,5,2.227547
0.6621771,5,2.232847
1.0246696,5,2.238118
6.6995945,5,2.24428
6.3263655,5,2.249558
7.094621,5,2.254826
4.1263723,5,2.260085
4.832056,5,2.292397
5.2421737,5,2.297773
5.4306574,5,2.30339
7.1537395,5,2.309119
2.2226863,5,2.314918
5.637557,5,2.320275
7.8977056,5,2.325882
-105.02142,4,2.330934
3.989676,5,2.336212
-4.988356,5,2.341827
-2.6785488,5,2.373747
8.50231,5,2.379916
6.105257,5,2.385272
-0.60073984,5,2.391196
7.8780403,5,2.396887
4.713784,5,2.402237
-3.6445336,5,2.407533
2.3041573,5,2.412785
-6.8036537,5,2.41841
3.747153,5,2.424321
8.347261,5,2.457253
5.975895,5,2.462586
5.47737,5,2.468493
2.2037494,5,2.473761
-1.9676522,5,2.479379
-0.35834977,5,2.485274
7.418241,5,2.491232
5.7347317,5,2.496587
5.8400807,5,2.501851
8.700352,5,2.507705
-3.638126,5,2.539831
-106.291565,5,2.545137
-103.97435,5,2.550946
5.843536,5,2.556155
6.273692,5,2.562027
8.413839,5,2.568693
7.8188353,5,2.574275
2.8996959,5,2.57985
-4.8396363,5,2.585713
2.597045,5,2.591514
7.610951,5,2.623486
6.991134,5,2.629097
-7.5153847,5,2.635003
-1.8748925,5,2.64086
5.910822,5,2.646158
4.932911,5,2.651433
3.845806,5,2.657015
8.838799,5,2.66258
5.9114337,5,2.668141
-0.3352803,5,2.673722
7.742802,5,2.706387
6.519145,5,2.712004
1.2972741,5,2.717466
6.499832,5,2.723461
5.584003,5,2.728985
3.5343711,5,2.734486
-111.44572,5,2.74091
5.4958863,5,2.747018
-1.5330627,5,2.752592
-1.8688204,5,2.757929
3.2348447,5,2.789709
8.014128,5,2.795226
7.1287746,5,2.801319
6.611878,5,2.80724
3.2862406,5,2.813006
2.6305943,5,2.819137
5.7388234,5,2.825606
7.1701756,5,2.831273
0.9800837,5,2.836925
6.2573795,5,2.842864
7.8893323,5,2.874818
5.182509,5,2.880481
1.9735184,5,2.886314
-6.108032,5,2.892912
2.9607265,5,2.915051
-1.7500985,5,2.926029
6.331826,5,2.932664
0.32059598,5,2.939866
0.23878884,5,2.946105
6.0235715,5,2.952589
4.749411,5,2.984922
0.5193758,5,2.990735
3.5778527,5,2.996682
4.196988,5,3.002646
-1.9592745,5,3.008006
1.8974226,5,3.013607
4.2601767,5,3.019535
-2.6716828,5,3.024933
4.24333,5,3.030273
-2.5611098,5,3.035623
-4.530411,5,3.069519
7.4252586,5,3.07483
7.2977786,5,3.081052
2.738917,5,3.086337
-2.363933,5,3.092232
-0.055510163,5,3.09815
-0.79297984,5,3.103427
1.1557927,5,3.108993
7.620746,5,3.114966
-2.2789776,5,3.120885
6.2567325,5,3.15249
0.46044204,5,3.158147
-107.09063,4,3.162719
3.9048085,5,3.167917
2.4017324,5,3.173782
-106.01447,5,3.179331
5.3493104,5,3.185557
6.421863,5,3.191177
-2.422285,5,3.196765
8.688457,5,3.202646
-4.1308517,5,3.234774
2.3524666,5,3.240127
-4.839935,5,3.245742
9.431533,5,3.25102
3.477092,5,3.256323
-1.4157748,5,3.261656
-2.230459,5,3.266976
5.1113453,5,3.272867
6.36694,5,3.278137
9.273391,5,3.283403
-0.73615384,5,3.31708
2.0926256,5,3.323083
3.8033316,5,3.329031
6.0933647,5,3.33459
5.021476,5,3.340219
-8.656999,5,3.34581
5.743058,5,3.351394
-0.60445315,5,3.356979
5.527187,5,3.362265
-1.6812595,5,3.36841
-104.854576,5,3.400446
2.0861657,5,3.405783
-4.6764665,5,3.411723
5.4135337,5,3.417562
1.7319506,5,3.423852
-3.1555164,5,3.429184
2.3512287,5,3.434798
5.212408,5,3.440715
6.409201,5,3.446052
3.739892,5,3.451629
-7.7304926,5,3.484237
5.5097528,5,3.489893
-0.31215703,5,3.495497
9.052723,5,3.500948
7.7214155,5,3.506597
3.1173177,5,3.511936
3.703612,5,3.517254
5.768132,5,3.523665
-5.3559237,5,3.529341
7.226055,5,3.534953
4.3162084,5,3.567762
5.2639976,5,3.573082
8.044694,5,3.578664
0.44287217,5,3.583929
0.6733639,5,3.58919
4.192346,5,3.594769
0.82135713,5,3.600324
-104.80165,5,3.605593
1.0993088,5,3.610774
-4.6538205,5,3.616019
-2.5783763,5,3.648014
4.1613293,5,3.653964
2.349798,5,3.66003
7.220612,5,3.665323
-3.3929744,5,3.670591
7.260958,5,3.675878
-2.631641,5,3.681439
5.6943088,5,3.687302
7.102779,5,3.692566
2.8010764,5,3.698119
5.3884287,5,3.729848
4.393659,5,3.735463
2.7905424,5,3.740843
8.3236475,5,3.746781
2.4040377,5,3.752077
2.3046722,5,3.757361
5.6341476,5,3.762646
7.6336613,5,3.767914
6.2075195,5,3.774531
7.016673,5,3.780109
-6.9270573,5,3.811972
3.3568866,5,3.817314
0.051548004,5,3.822605
3.5741017,5,3.828508
1.0299098,5,3.833967
1.0031333,5,3.839475
5.554329,5,3.845137
-1.0945742,5,3.851012
-3.9973578,5,3.856919
0.13703525,5,3.862198
6.415511,5,3.896163
5.1347294,5,3.901909
-105.45265,5,3.908178
6.9185286,5,3.913728
-0.266379,5,3.919317
2.8543677,5,3.924595
-0.47228104,5,3.930172
6.499324,5,3.935434
5.5040755,5,3.941291
4.1674337,5,3.947151
-4.3734655,5,3.979641
6.133631,5,3.98592
2.5732768,5,3.991672
-4.493267,5,3.997366
6.871419,5,4.002685
1.5685856,5,4.009061
5.5430303,5,4.014694
6.2853827,5,4.020305
9.068071,5,4.025619
-0.57041764,5,4.030941
6.0118465,5,4.062878
7.4622645,5,4.068854
8.7730875,5,4.074184
3.6925066,5,4.079467
-4.974387,5,4.085343
-4.042363,5,4.091363
8.505357,5,4.096944
1.2560229,5,4.102774
7.9859786,5,4.108349
6.3853445,5,4.113911
7.9983187,5,4.146149
8.416391,5,4.152113
1.1478617,5,4.157845
3.1718059,5,4.163523
4.919094,5,4.169173
5.558833,5,4.174822
5.308336,5,4.180461
3.1093373,5,4.186082
0.77181995,5,4.191385
8.223063,5,4.196675
6.983864,5,4.228634
-99.982506,5,4.234009
6.379838,5,4.23924
-0.14168382,5,4.245631
3.7887495,5,4.250917
-102.301735,5,4.256419
2.610077,5,4.262057
1.8212669,5,4.267392
7.7072144,5,4.273332
4.8011956,5,4.278938
