#{"t_start": 1790202046.5118334, "env_id": "None"}
r,l,t
-103.93426,9,1.053272
-110.52378,9,1.053376
-99.7663,11,1.081961
-100.11219,13,1.111169
-101.24039,13,1.111233
-95.76532,15,1.144691
-107.628624,6,1.174406
-103.93337,9,1.188046
-106.39138,19,1.202567
-103.09707,20,1.216858
-97.58224,9,1.245079
-106.13212,5,1.261554
-83.98195,24,1.275108
-99.02108,10,1.289132
-124.29136,31,1.375573
-104.91903,10,1.403823
-99.4109,12,1.447253
-103.69283,24,1.461927
-125.490616,28,1.461974
-103.700386,19,1.519879
-102.95517,4,1.51996
-90.984665,23,1.549407
-105.44872,10,1.549471
-119.09337,27,1.592873
-108.067665,8,1.635132
-92.68145,13,1.635201
-81.07969,25,1.650106
-108.7614,33,1.650153
-99.58312,9,1.650168
-91.225685,17,1.704965
-106.71748,5,1.705052
-104.48192,7,1.74951
-95.0765,15,1.763187
-94.28331,28,1.778037
-105.25543,6,1.836426
-104.29132,6,1.850863
-108.42197,21,1.850911
-97.68061,14,1.850926
-107.06807,7,1.879716
-107.33762,18,1.894373
-88.60127,17,1.894416
-98.280685,15,1.922057
-108.94351,7,1.951534
-108.261375,17,1.951599
-102.347626,10,1.980715
-93.50294,28,1.995275
-103.56149,13,2.038782
-103.32985,6,2.080622
-94.16805,20,2.138485
-96.169495,20,2.167758
-109.328926,7,2.240568
-118.55497,12,2.255574
-92.32847,25,2.255623
-95.80078,19,2.255639
-106.14972,25,2.255651
-96.99364,25,2.285201
-114.8985,11,2.327063
-106.81456,5,2.327134
-127.41208,28,2.356097
-108.47993,8,2.356157
-111.56949,8,2.370306
-98.51537,8,2.370358
-88.98028,32,2.413975
-106.11711,5,2.427873
-106.41294,6,2.457392
-104.774536,9,2.498831
-101.045815,20,2.571477
-87.2997,43,2.65996
-111.876595,12,2.748585
-113.17445,35,2.763308
-111.43353,23,2.763356
-105.66742,23,2.791787
-96.228905,20,2.791854
-96.22275,11,2.82073
-105.63509,6,2.850103
-104.3757,37,2.86478
-117.482994,31,2.864826
-105.74709,6,2.878987
-128.97966,36,2.879039
-139.91513,41,2.919933
-103.275894,8,2.962233
-104.85732,15,2.962308
-104.66496,6,3.008495
-106.46983,11,3.022564
-110.018616,19,3.037089
-104.95332,13,3.066954
-80.4102,20,3.081063
-97.74982,11,3.125422
-112.34355,15,3.185908
-108.77422,12,3.186009
-97.79767,14,3.230033
-98.781334,13,3.273796
-89.39226,31,3.273867
-108.93312,11,3.288841
-118.19985,15,3.288892
-102.42648,4,3.288907
-108.813835,10,3.33194
-104.32974,5,3.360068
-114.10861,34,3.374034
-103.54758,5,3.402698
-93.98415,9,3.402755
-99.07279,18,3.446824
-91.62164,40,3.446897
-113.63844,15,3.503438
-110.05432,9,3.53219
-107.07289,6,3.53225
-94.84564,13,3.589448
-105.62312,5,3.604304
-99.26846,40,3.618502
-104.14205,3,3.632158
-91.06315,29,3.689461
-101.959206,22,3.689541
-95.51264,13,3.689556
-96.76266,11,3.791793
-93.60833,37,3.820606
-115.17728,10,3.835254
-107.1912,35,3.864494
-83.37317,31,3.893275
-110.00138,7,3.893337
-97.56284,22,3.922216
-103.19375,6,3.922278
-105.472275,7,3.964846
-119.22426,19,3.964921
-105.18834,4,4.024215
-78.258385,37,4.069928
-93.18151,11,4.084127
-106.95379,5,4.098987
-101.971436,13,4.113182
-94.39327,34,4.113228
-114.30876,11,4.126952
-103.140625,19,4.172316
-108.034355,7,4.172389
-106.24963,4,4.232662
-113.393295,10,4.247166
-113.73863,11,4.275445
-95.53489,33,4.304332
-96.19545,17,4.332567
-97.83787,16,4.346882
-99.30015,12,4.34693
-97.401886,48,4.389702
-136.28474,37,4.433354
-107.159515,6,4.479131
-102.449295,11,4.507627
-106.36146,16,4.507684
-108.213715,6,4.522635
-89.7556,20,4.53711
-114.14472,16,4.579318
-91.29628,18,4.594083
-102.78656,5,4.594137
-115.19801,21,4.608925
-113.527306,27,4.623003
-104.70298,8,4.650897
-103.45328,4,4.680101
-117.87642,15,4.694467
-98.13132,8,4.7227
-80.825935,41,4.722766
-108.65949,7,4.780244
-108.97984,9,4.780321
-104.28427,6,4.811453
-107.01478,8,4.841304
-92.50045,23,4.841362
-100.05172,18,4.84138
-108.27413,17,4.945516
-106.75054,7,4.945619
-104.33062,10,4.960782
-114.04236,26,4.975653
-109.16234,14,4.989752
-80.42299,35,5.01857
-107.66884,4,5.033224
-103.44407,6,5.033273
-91.53686,34,5.090536
-107.298386,6,5.105092
-101.96307,18,5.105139
-101.89603,5,5.175295
-88.94603,27,5.175388
-103.903046,5,5.247243
-102.25566,21,5.262077
-96.541534,12,5.276913
-101.4492,8,5.291963
-101.059906,26,5.32291
-104.753265,4,5.322974
-108.37212,21,5.338696
-108.93352,27,5.384359
-105.85545,9,5.384432
-95.407455,42,5.45668
-99.37097,8,5.501182
-94.0952,18,5.559138
-102.033455,36,5.559227
-85.93213,36,5.618747
-94.68097,20,5.618828
-107.46202,5,5.633171
-99.86406,9,5.633226
-85.78009,21,5.691867
-112.970345,28,5.735492
-93.609886,13,5.750476
-100.59753,10,5.780428
-110.785645,22,5.780489
-93.91648,34,5.780505
-104.26819,13,5.81021
-92.35821,13,5.810277
-113.04737,15,5.853585
-105.98889,7,5.88418
-98.91875,13,5.927546
-80.73332,41,5.941506
-99.63747,10,5.955688
-89.62243,20,5.984974
-105.64043,14,6.015208
-100.83265,17,6.030366
-108.23724,10,6.030414
-99.90591,9,6.059805
-109.94303,11,6.11792
-131.75003,24,6.132374
-105.82299,11,6.146341
-111.35055,21,6.161059
-100.84731,11,6.175714
-121.17673,17,6.190586
-103.33801,9,6.262545
-101.116035,11,6.307594
-103.98444,18,6.323395
-103.09693,12,6.337841
-94.803764,41,6.352743
-97.62956,22,6.35279
-123.85518,17,6.367926
-108.67403,8,6.382368
-103.22864,5,6.426406
-92.458115,20,6.470084
-110.43083,8,6.500285
-100.51325,12,6.516243
-103.77105,6,6.516289
-101.87612,15,6.530516
-96.38448,24,6.544895
-79.529724,36,6.560695
-112.97219,15,6.57745
-100.54691,15,6.591884
-106.37832,5,6.623732
-104.75847,14,6.682818
-118.63694,24,6.6829
-100.23962,14,6.726404
-107.19841,12,6.740882
-96.10431,19,6.785378
-119.54249,17,6.785448
-121.8604,17,6.829162
-85.81908,22,6.844421
-108.92716,18,6.859124
-106.62701,5,6.904282
-102.0677,17,6.932421
-105.50542,16,6.965013
-119.01048,10,6.996432
-89.38612,18,7.010813
-94.291916,29,7.053938
-129.7556,27,7.083396
-110.43882,11,7.097739
-109.68967,16,7.142445
-101.04883,9,7.18813
-116.17464,27,7.18824
-99.01383,7,7.247239
-105.1996,7,7.292931
-113.18588,22,7.293005
-97.68637,12,7.364824
-93.60005,25,7.380201
-110.44538,41,7.3953
-107.97329,7,7.395347
-107.84265,10,7.440234
-127.09029,40,7.45957
-78.103035,31,7.459625
-104.74788,15,7.475089
-108.511154,7,7.50465
-96.725464,12,7.564364
-81.48827,32,7.564447
-108.94721,31,7.564464
-101.73743,8,7.579371
-95.563644,14,7.579427
-98.19596,16,7.639073
-105.202255,6,7.653849
-97.9581,15,7.726768
-106.016,7,7.75799
-95.24476,16,7.80067
-115.61318,12,7.815721
-104.96617,4,7.815767
-113.03876,16,7.815783
-102.77535,27,7.846443
-81.49664,22,7.889376
-89.446976,28,7.889447
-105.613235,8,7.917103
-103.07788,8,7.932757
-100.66773,6,7.932801
-98.44735,10,7.961435
-85.099464,36,7.992026
-99.17649,10,8.036478
-102.59117,15,8.036547
-105.405174,6,8.084446
-105.793755,14,8.144018
-86.01616,40,8.173352
-86.91628,20,8.18817
-88.297714,17,8.221849
-104.69663,21,8.250766
-103.39135,8,8.266431
-100.569664,23,8.266473
-132.30212,36,8.266489
-115.312965,14,8.295816
-116.37447,18,8.310217
-90.04477,18,8.310263
-97.80303,10,8.338726
-107.96106,5,8.381729
-95.5858,15,8.397545
-101.98175,11,8.426194
-100.36779,7,8.441251
-108.60019,13,8.500221
-106.521805,5,8.50031
-102.60235,23,8.604132
-100.519035,15,8.604235
-92.69535,20,8.692686
-93.645645,15,8.723372
-93.96494,35,8.741098
-94.17039,34,8.757287
-104.617615,33,8.757342
-111.64179,15,8.840553
-93.74251,22,8.840656
-67.713196,37,8.857195
-108.54265,10,8.906113
-99.887924,20,8.923289
-109.57284,6,8.938694
-108.33033,8,8.967573
-95.762245,35,8.982021
-103.80294,14,8.982068
-105.16976,6,9.026663
-119.74548,12,9.041588
-107.806305,8,9.097487
-99.12393,12,9.097574
-90.46239,15,9.127622
-100.7706,10,9.17207
-66.73871,33,9.201802
-119.77773,16,9.201861
-103.4406,8,9.290934
-83.420334,38,9.307338
-105.587814,15,9.322153
-103.284836,14,9.33611
-110.27792,10,9.351145
-93.033005,41,9.380258
-98.88289,6,9.395249
-102.96442,6,9.411599
-116.82903,30,9.426108
-111.00693,10,9.441347
-107.081795,5,9.456377
-107.59752,28,9.513975
-115.53703,14,9.617708
-96.06222,15,9.61781
-66.67836,41,9.648285
-120.93031,15,9.662612
-128.0862,22,9.66266
-96.49116,17,9.677944
-104.96683,11,9.780029
-113.22928,11,9.824904
-102.40751,5,9.854347
-94.50721,23,9.854411
-103.98932,28,9.868792
-105.48286,16,9.898518
-110.38126,20,9.913666
-93.02432,48,9.913714
-102.370056,5,9.942147
-105.330444,13,10.048301
-105.12206,15,10.048405
-120.40544,29,10.077424
-116.25825,50,10.09184
-126.70469,14,10.121371
-103.98885,7,10.194692
-101.52426,36,10.209758
-99.28206,10,10.224854
-93.688095,22,10.239602
-115.26282,10,10.269816
-92.138336,23,10.284206
-124.28852,18,10.314049
-108.535706,7,10.328376
-116.33493,10,10.358429
-93.00319,35,10.37354
-89.089325,33,10.388087
-110.57633,8,10.388134
-109.13758,13,10.433292
-104.71413,6,10.477818
-91.00718,15,10.505659
-104.19204,10,10.534622
-100.53608,7,10.53468
-106.3903,33,10.534696
-112.707954,16,10.549784
-101.22747,5,10.57865
-102.52981,18,10.593588
-99.44566,15,10.593645
-102.3856,16,10.593661
-109.786705,5,10.60805
-104.547874,9,10.608098
-107.48251,9,10.667654
-100.5101,36,10.725768
-92.69592,15,10.799869
-104.89794,6,10.814904
-93.311905,17,10.844434
-91.31708,22,10.918642
-116.713066,22,10.933919
-110.21734,9,10.948371
-103.41588,26,10.977777
-90.28282,27,11.009449
-109.27719,7,11.024893
-90.04699,34,11.053747
-106.25156,8,11.053806
-104.469986,7,11.155614
-99.894745,7,11.155715
-90.10406,43,11.169823
-91.18227,22,11.169871
-97.61459,12,11.203888
-94.32688,27,11.203953
-109.647316,38,11.234419
-115.165306,16,11.250026
-102.24698,9,11.294259
-140.4956,25,11.323665
-104.43297,6,11.381459
-110.44985,7,11.427243
-105.30208,17,11.458433
-103.38105,4,11.489143
-110.5564,23,11.503172
-89.23041,18,11.51763
-128.22035,37,11.533256
-95.92189,25,11.547615
-126.79572,23,11.547663
-98.77618,21,11.547678
-112.48703,25,11.547691
-105.727585,10,11.607405
-90.801186,15,11.607494
-108.003334,7,11.652928
-101.13884,11,11.682868
-113.70834,9,11.742321
-100.79049,14,11.757305
-107.14781,10,11.834295
-102.79896,6,11.834394
-89.87227,21,11.8663
-101.543686,21,11.866364
-92.3864,15,11.881041
-83.751686,25,11.881115
-132.46925,19,11.895028
-108.284706,8,11.985005
-103.69745,8,11.985104
-109.332924,7,11.98512
-91.252625,32,12.018657
-107.681854,17,12.018729
-106.263725,35,12.018745
-101.26471,13,12.034006
-103.38911,10,12.137165
-122.33139,18,12.152894
-98.03456,9,12.152944
-104.60285,10,12.167423
-89.60524,18,12.167469
-106.39967,14,12.226432
-98.62716,13,12.226515
-99.889786,26,12.226532
-109.576744,8,12.270933
-95.78782,12,12.330048
-117.833435,25,12.360506
-92.58377,28,12.406418
-118.13909,19,12.421271
-105.49294,17,12.421317
-103.171776,15,12.451953
-106.77036,6,12.510653
-91.64205,13,12.554278
-107.13074,4,12.568951
-117.73423,28,12.584342
-110.319855,11,12.584388
-101.5575,10,12.598807
-95.73751,27,12.62727
-106.4732,5,12.65613
-97.85945,22,12.656193
-102.98927,7,12.65621
-107.29243,27,12.671129
-79.98047,30,12.671177
-98.67885,8,12.685915
-108.467316,8,12.70052
-101.03898,9,12.759837
-100.16356,9,12.789042
-110.98876,27,12.803827
-97.433266,10,12.818259
-93.98547,12,12.83395
-112.61653,13,12.863134
-88.916595,18,12.922735
-99.059845,8,12.982447
-103.117775,14,12.997015
-107.1177,16,12.997064
-98.78693,22,13.027738
-94.03511,14,13.027809
-89.88195,30,13.043034
-104.248856,8,13.102144
-106.8281,14,13.131475
-116.12326,9,13.162121
-107.27559,11,13.162185
-114.18123,34,13.191205
-104.41515,4,13.220967
-112.55942,9,13.269633
-79.37404,36,13.374436
-92.9056,25,13.37454
-97.27081,18,13.374557
-103.93003,8,13.38912
-78.54641,39,13.389174
-114.52727,25,13.404335
-113.44453,16,13.434195
-115.06208,21,13.477541
-94.95921,18,13.493236
-95.281235,8,13.507594
-100.7283,11,13.595689
-108.62008,16,13.610635
-101.265,19,13.654922
-102.22107,13,13.669871
